# Resolved pools list by minerstat for msOS
# Updated Mon Dec 19 14:00:37 UTC 2022
# ip,fqdn
204.11.56.48 egem.protonmine.com
162.19.139.182 ella.2miners.com
45.43.30.4 ella.digipools.org
159.69.56.113 ella.pool.sexy
47.89.180.253 em.huobipool.com
145.239.0.106 emc2.suprnova.cc
51.79.251.11 equihash.asia.mine.zergpool.com
35.244.175.27 equihash.br.nicehash.com
141.95.55.97 equihash.eu.mine.zergpool.com
198.50.168.213 equihash.eu.mine.zpool.ca
35.244.175.27 equihash.eu.nicehash.com
47.243.248.249 equihash.f2pool.com
35.244.175.27 equihash.hk.nicehash.com
35.244.175.27 equihash.in.nicehash.com
198.50.168.213 equihash.jp.mine.zpool.ca
35.244.175.27 equihash.jp.nicehash.com
34.98.72.143 equihash.luxor.tech
103.249.70.7 equihash.mine.zergpool.com
51.178.179.75 equihash.mining-dutch.nl
149.56.111.148 equihash.na.mine.zergpool.com
198.50.168.213 equihash.na.mine.zpool.ca
198.50.168.213 equihash.sea.mine.zpool.ca
35.244.175.27 equihash.usa.nicehash.com
51.79.251.11 equihash125.asia.mine.zergpool.com
141.95.55.97 equihash125.eu.mine.zergpool.com
103.249.70.7 equihash125.mine.zergpool.com
149.56.111.148 equihash125.na.mine.zergpool.com
198.50.168.213 equihash125.na.mine.zpool.ca
51.79.251.11 equihash144.asia.mine.zergpool.com
141.95.55.97 equihash144.eu.mine.zergpool.com
198.50.168.213 equihash144.eu.mine.zpool.ca
198.50.168.213 equihash144.jp.mine.zpool.ca
103.249.70.7 equihash144.mine.zergpool.com
149.56.111.148 equihash144.na.mine.zergpool.com
198.50.168.213 equihash144.na.mine.zpool.ca
198.50.168.213 equihash144.sea.mine.zpool.ca
51.79.251.11 equihash192.asia.mine.zergpool.com
141.95.55.97 equihash192.eu.mine.zergpool.com
198.50.168.213 equihash192.eu.mine.zpool.ca
198.50.168.213 equihash192.jp.mine.zpool.ca
103.249.70.7 equihash192.mine.zergpool.com
149.56.111.148 equihash192.na.mine.zergpool.com
198.50.168.213 equihash192.na.mine.zpool.ca
198.50.168.213 equihash192.sea.mine.zpool.ca
198.50.168.213 equihash96.eu.mine.zpool.ca
198.50.168.213 equihash96.na.mine.zpool.ca
8.136.41.145 es.huobipool.com
89.108.117.245 etc-solo.baikalmine.com
167.86.107.32 etc-solo.wattpool.net
141.95.124.99 etc.2miners.com
37.187.226.146 etc.altpool.pro
89.108.117.245 etc.baikalmine.com
89.232.109.242 etc.coolpool.top
45.43.30.3 etc.digipools.org
35.183.200.119 etc.ethashpool.com
172.67.147.102 etc.ethermine.org
172.65.197.131 etc.f2pool.com
138.201.198.155 etc.hashcity.org
46.4.119.209 etc.pool.minergate.com
95.217.117.31 etc.pool.zet-tech.eu
172.67.211.120 etc.solomine.org
188.132.174.88 etcturk.com
138.91.41.240 eth-asia1.hellominer.com
127.0.0.1 eth-au.dwarfpool.com
127.0.0.1 eth-cn.dwarfpool.com
80.66.80.221 eth-esoteria.icanmining.ru
127.0.0.1 eth-eu.dwarfpool.com
172.65.209.222 eth-eu.f2pool.com
172.65.233.185 eth-eu.sparkpool.com
52.232.17.180 eth-eu1.hellominer.com
172.65.209.222 eth-na.f2pool.com
167.86.74.33 eth-solo.wattpool.net
127.0.0.1 eth-us.dwarfpool.com
172.65.209.222 eth-us.f2pool.com
